true_signal,true_background,signal,time
0.0,20.0,20.0,0.0
0.0,19.998,19.998,0.008
0.0,19.997,19.997,0.016
0.0,19.995,19.995,0.024
0.0,19.994,19.994,0.032
0.0,19.992,19.992,0.04
0.0,19.99,19.99,0.048
0.0,19.989,19.989,0.056
0.0,19.987,19.987,0.064
0.0,19.986,19.986,0.07200000000000001
0.0,19.984,19.984,0.08
0.0,19.982,19.982,0.088
0.0,19.981,19.981,0.096
0.0,19.979,19.979,0.10400000000000001
0.0,19.978,19.978,0.112
0.0,19.976,19.976,0.12
0.0,19.974,19.974,0.128
0.0,19.973,19.973,0.136
0.0,19.971,19.971,0.14400000000000002
0.0,19.97,19.97,0.152
0.0,19.968,19.968,0.16
0.0,19.966,19.966,0.168
0.0,19.965,19.965,0.176
0.0,19.963,19.963,0.184
0.0,19.962,19.962,0.192
0.0,19.96,19.96,0.2
0.0,19.958,19.958,0.20800000000000002
0.0,19.957,19.957,0.216
0.0,19.955,19.955,0.224
0.0,19.954,19.954,0.232
0.0,19.952,19.952,0.24
0.0,19.95,19.95,0.248
0.0,19.949,19.949,0.256
0.0,19.947,19.947,0.264
0.0,19.946,19.946,0.272
0.0,19.944,19.944,0.28
0.0,19.942,19.942,0.28800000000000003
0.0,19.941,19.941,0.296
0.0,19.939,19.939,0.304
0.0,19.938,19.938,0.312
0.0,19.936,19.936,0.32
0.0,19.934,19.934,0.328
0.0,19.933,19.933,0.336
0.0,19.931,19.931,0.34400000000000003
0.0,19.93,19.93,0.352
0.0,19.928,19.928,0.36
0.0,19.926,19.926,0.368
0.0,19.925,19.925,0.376
0.0,19.923,19.923,0.384
0.0,19.922,19.922,0.392
0.0,19.92,19.92,0.4
0.0,19.918,19.918,0.40800000000000003
0.0,19.917,19.917,0.41600000000000004
0.0,19.915,19.915,0.424
0.0,19.914,19.914,0.432
0.0,19.912,19.912,0.44
0.0,19.91,19.91,0.448
0.0,19.909,19.909,0.456
0.0,19.907,19.907,0.464
0.0,19.906,19.906,0.47200000000000003
0.0,19.904,19.904,0.48
0.0,19.902,19.902,0.488
0.0,19.901,19.901,0.496
0.0,19.899,19.899,0.504
0.0,19.898,19.898,0.512
0.0,19.896,19.896,0.52
0.0,19.894,19.894,0.528
0.0,19.893,19.893,0.536
0.0,19.891,19.891,0.544
0.0,19.89,19.89,0.552
0.0,19.888,19.888,0.56
0.0,19.886,19.886,0.5680000000000001
0.0,19.885,19.885,0.5760000000000001
0.0,19.883,19.883,0.584
0.0,19.882,19.882,0.592
0.0,19.88,19.88,0.6
0.0,19.878,19.878,0.608
0.0,19.877,19.877,0.616
0.0,19.875,19.875,0.624
0.0,19.874,19.874,0.632
0.0,19.872,19.872,0.64
0.0,19.87,19.87,0.648
0.0,19.869,19.869,0.656
0.0,19.867,19.867,0.664
0.0,19.866,19.866,0.672
0.0,19.864,19.864,0.68
0.0,19.862,19.862,0.6880000000000001
0.0,19.861,19.861,0.6960000000000001
0.0,19.859,19.859,0.704
0.0,19.858,19.858,0.712
0.0,19.856,19.856,0.72
0.0,19.854,19.854,0.728
0.0,19.853,19.853,0.736
0.0,19.851,19.851,0.744
0.0,19.849,19.849,0.752
0.0,19.848,19.848,0.76
0.0,19.846,19.846,0.768
0.0,19.845,19.845,0.776
0.0,19.843,19.843,0.784
0.0,19.841,19.841,0.792
0.0,19.84,19.84,0.8
0.0,19.838,19.838,0.808
0.0,19.837,19.837,0.8160000000000001
0.0,19.835,19.835,0.8240000000000001
0.0,19.833,19.833,0.8320000000000001
0.0,19.832,19.832,0.84
0.0,19.83,19.83,0.848
0.0,19.829,19.829,0.856
0.0,19.827,19.827,0.864
0.0,19.825,19.825,0.872
0.0,19.824,19.824,0.88
0.0,19.822,19.822,0.888
0.0,19.821,19.821,0.896
0.0,19.819,19.819,0.904
0.0,19.817,19.817,0.912
0.0,19.816,19.816,0.92
0.0,19.814,19.814,0.928
0.0,19.813,19.813,0.936
0.0,19.811,19.811,0.9440000000000001
0.0,19.809,19.809,0.9520000000000001
0.0,19.808,19.808,0.96
0.0,19.806,19.806,0.968
0.0,19.805,19.805,0.976
0.0,19.803,19.803,0.984
0.0,19.801,19.801,0.992
0.0,19.8,19.8,1.0
0.0,19.798,19.798,1.008
0.0,19.797,19.797,1.016
0.0,19.795,19.795,1.024
0.0,19.793,19.793,1.032
0.0,19.792,19.792,1.04
0.0,19.79,19.79,1.048
0.0,19.789,19.789,1.056
0.0,19.787,19.787,1.064
0.0,19.785,19.785,1.072
0.0,19.784,19.784,1.08
0.0,19.782,19.782,1.088
0.0,19.781,19.781,1.096
0.0,19.779,19.779,1.104
0.0,19.777,19.777,1.112
0.0,19.776,19.776,1.12
0.0,19.774,19.774,1.1280000000000001
0.0,19.773,19.773,1.1360000000000001
0.0,19.771,19.771,1.1440000000000001
0.0,19.769,19.769,1.1520000000000001
0.0,19.768,19.768,1.16
0.0,19.766,19.766,1.168
0.0,19.764,19.764,1.176
0.0,19.763,19.763,1.184
0.0,19.761,19.761,1.192
0.0,19.76,19.76,1.2
0.0,19.758,19.758,1.208
0.0,19.756,19.756,1.216
0.0,19.755,19.755,1.224
0.0,19.753,19.753,1.232
0.0,19.752,19.752,1.24
0.0,19.75,19.75,1.248
0.0,19.748,19.748,1.256
0.0,19.747,19.747,1.264
0.0,19.745,19.745,1.272
0.0,19.744,19.744,1.28
0.0,19.742,19.742,1.288
0.0,19.74,19.74,1.296
0.0,19.739,19.739,1.304
0.0,19.737,19.737,1.312
0.0,19.736,19.736,1.32
0.0,19.734,19.734,1.328
0.0,19.732,19.732,1.336
0.0,19.731,19.731,1.344
0.0,19.729,19.729,1.352
0.0,19.728,19.728,1.36
0.0,19.726,19.726,1.368
0.0,19.724,19.724,1.3760000000000001
0.0,19.723,19.723,1.3840000000000001
0.0,19.721,19.721,1.3920000000000001
0.0,19.719,19.719,1.4000000000000001
0.0,19.718,19.718,1.408
0.0,19.716,19.716,1.416
0.0,19.715,19.715,1.424
0.0,19.713,19.713,1.432
0.0,19.711,19.711,1.44
0.0,19.71,19.71,1.448
0.0,19.708,19.708,1.456
0.0,19.707,19.707,1.464
0.0,19.705,19.705,1.472
0.0,19.703,19.703,1.48
0.0,19.702,19.702,1.488
0.0,19.7,19.7,1.496
0.0,19.699,19.699,1.504
0.0,19.697,19.697,1.512
0.0,19.695,19.695,1.52
0.0,19.694,19.694,1.528
0.0,19.692,19.692,1.536
0.0,19.691,19.691,1.544
0.0,19.689,19.689,1.552
0.0,19.687,19.687,1.56
0.0,19.686,19.686,1.568
0.0,19.684,19.684,1.576
0.0,19.682,19.682,1.584
0.0,19.681,19.681,1.592
0.0,19.679,19.679,1.6
0.0,19.678,19.678,1.608
0.0,19.676,19.676,1.616
0.0,19.674,19.674,1.624
0.0,19.673,19.673,1.6320000000000001
0.0,19.671,19.671,1.6400000000000001
0.0,19.67,19.67,1.6480000000000001
0.0,19.668,19.668,1.6560000000000001
0.0,19.666,19.666,1.6640000000000001
0.0,19.665,19.665,1.672
0.0,19.663,19.663,1.68
0.0,19.662,19.662,1.688
0.0,19.66,19.66,1.696
0.0,19.658,19.658,1.704
0.0,19.657,19.657,1.712
0.0,19.655,19.655,1.72
0.0,19.653,19.653,1.728
0.0,19.652,19.652,1.736
0.0,19.65,19.65,1.744
0.0,19.649,19.649,1.752
0.0,19.647,19.647,1.76
0.0,19.645,19.645,1.768
0.0,19.644,19.644,1.776
0.0,19.642,19.642,1.784
0.0,19.641,19.641,1.792
0.0,19.639,19.639,1.8
0.0,19.637,19.637,1.808
0.0,19.636,19.636,1.816
0.0,19.634,19.634,1.824
0.0,19.633,19.633,1.832
0.0,19.631,19.631,1.84
0.0,19.629,19.629,1.848
0.0,19.628,19.628,1.856
0.0,19.626,19.626,1.864
0.0,19.624,19.624,1.872
0.0,19.623,19.623,1.8800000000000001
0.0,19.621,19.621,1.8880000000000001
0.0,19.62,19.62,1.8960000000000001
0.0,19.618,19.618,1.9040000000000001
0.0,19.616,19.616,1.9120000000000001
0.0,19.615,19.615,1.92
0.0,19.613,19.613,1.928
0.0,19.612,19.612,1.936
0.0,19.61,19.61,1.944
0.0,19.608,19.608,1.952
0.0,19.607,19.607,1.96
0.0,19.605,19.605,1.968
0.0,19.603,19.603,1.976
0.0,19.602,19.602,1.984
0.0,19.6,19.6,1.992
0.0,19.599,19.599,2.0
0.0,19.597,19.597,2.008
0.0,19.595,19.595,2.016
0.0,19.594,19.594,2.024
0.0,19.592,19.592,2.032
0.0,19.591,19.591,2.04
0.0,19.589,19.589,2.048
0.0,19.587,19.587,2.056
0.0,19.586,19.586,2.064
0.0,19.584,19.584,2.072
0.0,19.582,19.582,2.08
0.0,19.581,19.581,2.088
0.0,19.579,19.579,2.096
0.0,19.578,19.578,2.104
0.0,19.576,19.576,2.112
0.0,19.574,19.574,2.12
0.0,19.573,19.573,2.128
0.0,19.571,19.571,2.136
0.0,19.569,19.569,2.144
0.0,19.568,19.568,2.152
0.0,19.566,19.566,2.16
0.0,19.565,19.565,2.168
0.0,19.563,19.563,2.176
0.0,19.561,19.561,2.184
0.0,19.56,19.56,2.192
0.0,19.558,19.558,2.2
0.0,19.557,19.557,2.208
0.0,19.555,19.555,2.216
0.0,19.553,19.553,2.224
0.0,19.552,19.552,2.232
0.0,19.55,19.55,2.24
0.0,19.548,19.548,2.248
0.0,19.547,19.547,2.2560000000000002
0.0,19.545,19.545,2.2640000000000002
0.0,19.544,19.544,2.2720000000000002
0.0,19.542,19.542,2.2800000000000002
0.0,19.54,19.54,2.2880000000000003
0.0,19.539,19.539,2.2960000000000003
0.0,19.537,19.537,2.3040000000000003
0.0,19.535,19.535,2.312
0.0,19.534,19.534,2.32
0.0,19.532,19.532,2.328
0.0,19.531,19.531,2.336
0.0,19.529,19.529,2.344
0.0,19.527,19.527,2.352
0.0,19.526,19.526,2.36
0.0,19.524,19.524,2.368
0.0,19.522,19.522,2.376
0.0,19.521,19.521,2.384
0.0,19.519,19.519,2.392
0.0,19.518,19.518,2.4
0.0,19.516,19.516,2.408
0.0,19.514,19.514,2.416
0.0,19.513,19.513,2.424
0.0,19.511,19.511,2.432
0.0,19.509,19.509,2.44
0.0,19.508,19.508,2.448
0.0,19.506,19.506,2.456
0.0,19.505,19.505,2.464
0.0,19.503,19.503,2.472
0.0,19.501,19.501,2.48
0.0,19.5,19.5,2.488
0.0,19.498,19.498,2.496
0.0,19.496,19.496,2.504
0.0,19.495,19.495,2.512
0.0,19.493,19.493,2.52
0.0,19.492,19.492,2.528
0.0,19.49,19.49,2.536
0.0,19.488,19.488,2.544
0.0,19.487,19.487,2.552
0.0,19.485,19.485,2.56
0.0,19.483,19.483,2.568
0.0,19.482,19.482,2.576
0.0,19.48,19.48,2.584
0.0,19.479,19.479,2.592
0.0,19.477,19.477,2.6
0.0,19.475,19.475,2.608
0.0,19.474,19.474,2.616
0.0,19.472,19.472,2.624
0.0,19.47,19.47,2.632
0.0,19.469,19.469,2.64
0.0,19.467,19.467,2.648
0.0,19.466,19.466,2.656
0.0,19.464,19.464,2.664
0.0,19.462,19.462,2.672
0.0,19.461,19.461,2.68
0.0,19.459,19.459,2.688
0.0,19.457,19.457,2.696
0.0,19.456,19.456,2.704
0.0,19.454,19.454,2.712
0.0,19.453,19.453,2.72
0.0,19.451,19.451,2.728
0.0,19.449,19.449,2.736
0.0,19.448,19.448,2.744
0.0,19.446,19.446,2.7520000000000002
0.0,19.444,19.444,2.7600000000000002
0.0,19.443,19.443,2.7680000000000002
0.0,19.441,19.441,2.7760000000000002
0.0,19.44,19.44,2.7840000000000003
0.0,19.438,19.438,2.7920000000000003
0.0,19.436,19.436,2.8000000000000003
0.0,19.435,19.435,2.8080000000000003
0.0,19.433,19.433,2.816
0.0,19.431,19.431,2.824
0.0,19.43,19.43,2.832
0.0,19.428,19.428,2.84
0.0,19.426,19.426,2.848
0.0,19.425,19.425,2.856
0.0,19.423,19.423,2.864
0.0,19.422,19.422,2.872
0.0,19.42,19.42,2.88
0.0,19.418,19.418,2.888
0.0,19.417,19.417,2.896
0.0,19.415,19.415,2.904
0.0,19.413,19.413,2.912
0.0,19.412,19.412,2.92
0.0,19.41,19.41,2.928
0.0,19.408,19.408,2.936
0.0,19.407,19.407,2.944
0.0,19.405,19.405,2.952
0.0,19.404,19.404,2.96
0.0,19.402,19.402,2.968
0.0,19.4,19.4,2.976
0.0,19.399,19.399,2.984
0.0,19.397,19.397,2.992
0.0,19.395,19.395,3.0
0.0,19.394,19.394,3.008
0.0,19.392,19.392,3.016
0.0,19.39,19.39,3.024
0.0,19.389,19.389,3.032
0.0,19.387,19.387,3.04
0.0,19.386,19.386,3.048
0.0,19.384,19.384,3.056
0.0,19.382,19.382,3.064
0.0,19.381,19.381,3.072
0.0,19.379,19.379,3.08
0.0,19.377,19.377,3.088
0.0,19.376,19.376,3.096
0.0,19.374,19.374,3.104
0.0,19.372,19.372,3.112
0.0,19.371,19.371,3.12
0.0,19.369,19.369,3.128
0.0,19.368,19.368,3.136
0.0,19.366,19.366,3.144
0.0,19.364,19.364,3.152
0.0,19.363,19.363,3.16
0.0,19.361,19.361,3.168
0.0,19.359,19.359,3.176
0.0,19.358,19.358,3.184
0.0,19.356,19.356,3.192
0.0,19.354,19.354,3.2
0.0,19.353,19.353,3.208
0.0,19.351,19.351,3.216
0.0,19.35,19.35,3.224
0.0,19.348,19.348,3.232
0.0,19.346,19.346,3.24
0.0,19.345,19.345,3.248
0.0,19.343,19.343,3.2560000000000002
0.0,19.341,19.341,3.2640000000000002
0.0,19.34,19.34,3.2720000000000002
0.0,19.338,19.338,3.2800000000000002
0.0,19.336,19.336,3.2880000000000003
