time,signal
12.0,685
12.00833,685
12.01667,686
12.025,686
12.03333,687
12.04167,687
12.05,687
12.05833,687
12.06667,687
12.075,687
12.08333,687
12.09167,687
12.1,688
12.10833,688
12.11667,689
12.125,689
12.13333,689
12.14167,688
12.15,688
12.15833,688
12.16667,688
12.175,689
12.18333,689
12.19167,689
12.2,690
12.20833,690
12.21667,690
12.225,690
12.23333,690
12.24167,690
12.25,691
12.25833,690
12.26667,690
12.275,690
12.28333,690
12.29167,690
12.3,691
12.30833,691
12.31667,691
12.325,691
12.33333,691
12.34167,691
12.35,691
12.35833,691
12.36667,691
12.375,691
12.38333,691
12.39167,691
12.4,691
12.40833,691
12.41667,691
12.425,692
12.43333,692
12.44167,692
12.45,692
12.45833,692
12.46667,692
12.475,692
12.48333,692
12.49167,692
12.5,692
12.50833,692
12.51667,692
12.525,692
12.53333,692
12.54167,692
12.55,692
12.55833,692
12.56667,692
12.575,693
12.58333,693
12.59167,694
12.6,694
12.60833,694
12.61667,694
12.625,694
12.63333,694
12.64167,694
12.65,694
12.65833,694
12.66667,694
12.675,694
12.68333,694
12.69167,694
12.7,694
12.70833,694
12.71667,695
12.725,695
12.73333,695
12.74167,695
12.75,695
12.75833,695
12.76667,695
12.775,695
12.78333,695
12.79167,695
12.8,695
12.80833,696
12.81667,696
12.825,696
12.83333,696
12.84167,696
12.85,696
12.85833,696
12.86667,696
12.875,696
12.88333,697
12.89167,697
12.9,697
12.90833,698
12.91667,698
12.925,698
12.93333,698
12.94167,698
12.95,698
12.95833,698
12.96667,698
12.975,698
12.98333,698
12.99167,698
13.0,698
13.00833,699
13.01667,699
13.025,699
13.03333,699
13.04167,699
13.05,699
13.05833,699
13.06667,699
13.075,699
13.08333,699
13.09167,699
13.1,699
13.10833,699
13.11667,699
13.125,700
13.13333,700
13.14167,700
13.15,701
13.15833,702
13.16667,703
13.175,705
13.18333,707
13.19167,710
13.2,712
13.20833,715
13.21667,719
13.225,724
13.23333,730
13.24167,737
13.25,746
13.25833,755
13.26667,767
13.275,780
13.28333,795
13.29167,812
13.3,832
13.30833,854
13.31667,879
13.325,907
13.33333,937
13.34167,971
13.35,1008
13.35833,1048
13.36667,1093
13.375,1141
13.38333,1193
13.39167,1248
13.4,1307
13.40833,1369
13.41667,1434
13.425,1504
13.43333,1576
13.44167,1652
13.45,1730
13.45833,1810
13.46667,1894
13.475,1978
13.48333,2065
13.49167,2153
13.5,2242
13.50833,2331
13.51667,2421
13.525,2510
13.53333,2599
13.54167,2686
13.55,2773
13.55833,2857
13.56667,2939
13.575,3019
13.58333,3096
13.59167,3169
13.6,3239
13.60833,3306
13.61667,3369
13.625,3428
13.63333,3482
13.64167,3532
13.65,3577
13.65833,3617
13.66667,3652
13.675,3682
13.68333,3707
13.69167,3727
13.7,3741
13.70833,3750
13.71667,3755
13.725,3754
13.73333,3748
13.74167,3737
13.75,3721
13.75833,3700
13.76667,3674
13.775,3644
13.78333,3609
13.79167,3571
13.8,3528
13.80833,3481
13.81667,3431
13.825,3378
13.83333,3322
13.84167,3263
13.85,3201
13.85833,3136
13.86667,3070
13.875,3002
13.88333,2933
13.89167,2863
13.9,2792
13.90833,2721
13.91667,2649
13.925,2578
13.93333,2506
13.94167,2435
13.95,2365
13.95833,2295
13.96667,2226
13.975,2159
13.98333,2093
13.99167,2028
14.0,1964
14.00833,1903
14.01667,1844
14.025,1786
14.03333,1730
14.04167,1676
14.05,1624
14.05833,1574
14.06667,1527
14.075,1481
14.08333,1438
14.09167,1396
14.1,1356
14.10833,1319
14.11667,1283
14.125,1249
14.13333,1216
14.14167,1186
14.15,1157
14.15833,1130
14.16667,1104
14.175,1080
14.18333,1057
14.19167,1036
14.2,1016
14.20833,997
14.21667,980
14.225,963
14.23333,948
14.24167,933
14.25,919
14.25833,906
14.26667,894
14.275,883
14.28333,873
14.29167,863
14.3,854
14.30833,846
14.31667,838
14.325,831
14.33333,824
14.34167,817
14.35,811
14.35833,806
14.36667,801
14.375,796
14.38333,792
14.39167,787
14.4,783
14.40833,779
14.41667,775
14.425,772
14.43333,769
14.44167,766
14.45,763
14.45833,761
14.46667,758
14.475,756
14.48333,754
14.49167,752
14.5,749
14.50833,748
14.51667,746
14.525,744
14.53333,743
14.54167,741
14.55,740
14.55833,739
14.56667,737
14.575,736
14.58333,734
14.59167,733
14.6,732
14.60833,731
14.61667,730
14.625,729
14.63333,729
14.64167,728
14.65,727
14.65833,727
14.66667,726
14.675,725
14.68333,724
14.69167,724
14.7,723
14.70833,723
14.71667,722
14.725,722
14.73333,722
14.74167,721
14.75,721
14.75833,720
14.76667,720
14.775,719
14.78333,719
14.79167,718
14.8,718
14.80833,717
14.81667,717
14.825,716
14.83333,716
14.84167,716
14.85,715
14.85833,715
14.86667,715
14.875,716
14.88333,715
14.89167,715
14.9,715
14.90833,714
14.91667,714
14.925,714
14.93333,714
14.94167,714
14.95,713
14.95833,713
14.96667,713
14.975,713
14.98333,713
14.99167,713
15.0,713
15.00833,713
15.01667,713
15.025,713
15.03333,713
15.04167,713
15.05,713
15.05833,713
15.06667,713
15.075,712
15.08333,712
15.09167,711
15.1,711
15.10833,711
15.11667,710
15.125,710
15.13333,710
15.14167,710
15.15,710
15.15833,710
15.16667,710
15.175,710
15.18333,710
15.19167,710
15.2,709
15.20833,709
15.21667,710
15.225,710
15.23333,710
15.24167,710
15.25,710
15.25833,710
15.26667,710
15.275,710
15.28333,710
15.29167,709
15.3,709
15.30833,709
15.31667,709
15.325,709
15.33333,709
15.34167,709
15.35,708
15.35833,708
15.36667,708
15.375,708
15.38333,708
15.39167,708
15.4,708
15.40833,708
15.41667,708
15.425,707
15.43333,707
15.44167,707
15.45,707
15.45833,707
15.46667,707
15.475,706
15.48333,706
15.49167,706
15.5,706
15.50833,706
15.51667,706
15.525,706
15.53333,707
15.54167,707
15.55,707
15.55833,707
15.56667,706
15.575,706
15.58333,706
15.59167,706
15.6,706
15.60833,707
15.61667,707
15.625,706
15.63333,706
15.64167,705
15.65,705
15.65833,705
15.66667,705
15.675,706
15.68333,705
15.69167,705
15.7,705
15.70833,705
15.71667,705
15.725,705
15.73333,705
15.74167,705
15.75,705
15.75833,705
15.76667,705
15.775,705
15.78333,705
15.79167,705
15.8,705
15.80833,705
15.81667,704
15.825,704
15.83333,704
15.84167,704
15.85,704
15.85833,703
15.86667,703
15.875,703
15.88333,703
15.89167,703
15.9,703
15.90833,703
15.91667,703
15.925,704
15.93333,704
15.94167,705
15.95,705
15.95833,705
15.96667,705
15.975,705
15.98333,704
15.99167,704
16.0,704
16.00833,704
16.01667,703
16.025,703
16.03333,703
16.04167,703
16.05,703
16.05833,703
16.06667,703
16.075,703
16.08333,703
16.09167,703
16.1,703
16.10833,703
16.11667,703
16.125,703
16.13333,703
16.14167,703
16.15,703
16.15833,703
16.16667,703
16.175,703
16.18333,702
16.19167,702
16.2,702
16.20833,702
16.21667,702
16.225,702
16.23333,702
16.24167,703
16.25,703
16.25833,703
16.26667,703
16.275,703
16.28333,703
16.29167,703
16.3,703
16.30833,703
16.31667,703
16.325,703
16.33333,703
16.34167,703
16.35,703
16.35833,703
16.36667,703
16.375,703
16.38333,703
16.39167,703
16.4,702
16.40833,702
16.41667,702
16.425,702
16.43333,703
16.44167,703
16.45,703
16.45833,702
16.46667,702
16.475,702
16.48333,702
16.49167,702
16.5,702
16.50833,702
16.51667,702
16.525,702
16.53333,702
16.54167,702
