[Header]
Application Name,LabSolutions
Version,5.97 SP1
Data File Name,C:\Users\cremerlab\Desktop\griffin\2021-03-17_REL606_NCM3722_turnover\batch_3172021_004_009.lcd
Output Date,3/17/2021
Output Time,9:36:36 PM

[File Information]
Type,Data File
Generated,3/17/2021 8:51:17 PM
Generated by,System Administrator
Modified,3/17/2021 9:36:36 PM
Modified by,System Administrator

[Sample Information]
Operator Name,System Administrator
Acquired,3/17/2021 8:51:35 PM
Sample Type,1:Standard
Level,4
Sample Name,2021-03-17_NCM3722_NC_sample004
Sample ID,004
ISTD Amount1,1
ISTD Amount2,1
ISTD Amount3,1
ISTD Amount4,1
ISTD Amount5,1
ISTD Amount6,1
ISTD Amount7,1
ISTD Amount8,1
ISTD Amount9,1
ISTD Amount10,1
ISTD Amount11,1
ISTD Amount12,1
ISTD Amount13,1
ISTD Amount14,1
ISTD Amount15,1
ISTD Amount16,1
ISTD Amount17,1
ISTD Amount18,1
ISTD Amount19,1
ISTD Amount20,1
ISTD Amount21,1
ISTD Amount22,1
ISTD Amount23,1
ISTD Amount24,1
ISTD Amount25,1
ISTD Amount26,1
ISTD Amount27,1
ISTD Amount28,1
ISTD Amount29,1
ISTD Amount30,1
ISTD Amount31,1
ISTD Amount32,1
Sample Amount,1
Dilution Factor,1
Vial#,31
Injection Volume,20

[Original Files]
Data File,C:\Users\cremerlab\Desktop\griffin\2021-03-17_REL606_NCM3722_turnover\batch_3172021_004_009.lcd
Method File,C:\LabSolutions\Data\Project1\organicacidsetc2.lcm
Batch File,C:\Users\cremerlab\Desktop\griffin\2021-03-17_REL606_NCM3722_turnover\batch.lcb
Report Format File,c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name,HPLC-PC-Instrument1
Instrument #,1
Line #,1
# of Detectors,2
Detector ID,Detector A,Detector B
Detector Name,Detector A,Detector B
# of Channels,1,1

[LC Chromatogram(Detector B-Ch1)]
Interval(msec),500
# of Points,5401
Start Time(min),0.000
End Time(min),45.000
Intensity Units,mV
Intensity Multiplier,0.001
R.Time (min),Intensity
0.00000,-5
0.00833,-5
0.01667,0
0.02500,1
0.03333,1
0.04167,-0
0.05000,-1
0.05833,-3
0.06667,-3
0.07500,-3
0.08333,-3
0.09167,-3
0.10000,-3
0.10833,-2
0.11667,-2
0.12500,-1
0.13333,-1
0.14167,-0
0.15000,-0
0.15833,-0
0.16667,-1
0.17500,-1
0.18333,-1
0.19167,-1
0.20000,-1
0.20833,-2
0.21667,-2
0.22500,-1
0.23333,-1
0.24167,-0
0.25000,-0
0.25833,0
0.26667,0
0.27500,-0
0.28333,-0
0.29167,-1
0.30000,-1
0.30833,-1
0.31667,-2
0.32500,-2
0.33333,-2
0.34167,-3
0.35000,-3
0.35833,-3
0.36667,-3
0.37500,-3
0.38333,-4
0.39167,-4
0.40000,-4
0.40833,-4
0.41667,-4
0.42500,-4
0.43333,-4
0.44167,-4
0.45000,-4
0.45833,-5
0.46667,-5
0.47500,-5
0.48333,-5
0.49167,-5
0.50000,-5
0.50833,-4
0.51667,-4
0.52500,-4
0.53333,-4
0.54167,-4
0.55000,-3
0.55833,-3
0.56667,-2
0.57500,-1
0.58333,0
0.59167,1
0.60000,2
0.60833,1
0.61667,1
0.62500,0
